id,alt_type,attack,card_bonus,number,command,cost,errata_text,faction,hit_points,keywords,loyalty,name,resource_bonus,shields,text,traits,type,unique,copies,cycle,designer,octgn_id,set,signature_id,starting_cards,starting_resources,planet_material,planet_stronghold,planet_tech,sector,tts_card_key,tts_sheet_id,tts_sheet_position,flavour_text
561,,,,104,,2,,Necron,,,,World Engine Beam,,,"Combat Action: Deal any amount of indirect damage that cannot be reduced or prevented to a unit you control to place or remove the same amount of [R] on this support. Each player may use this ability once per phase. Interrupt: When this support has 8 [R] on it, sacrifice it to destroy a non-unique unit, support or attachment.",World Engine.,Support,,,Navida Prime,APK,0d9aae61-65b8-42ae-aaa2-d5d93885318c,Aligned Stars,,,,,,,,,,,
562,,,,105,,0,,Necron,,,,Dynastic Weaponry,,2,"Attach to a N army unit. Limit 1 per unit. Attached unit gets +1 ATK. Reaction: After a unit enters play from your discard pile, put this card into play from your discard pile attached to that unit, if eligible.",Upgrade.,Attachment,,,Navida Prime,APK,fe20dc5c-b0df-4907-837e-37b31c41f1e4,Aligned Stars,,,,,,,,,,,
563,bloodied,2,,1,,,,Astra Militarum,5,Bloodied.,Signature,Broderick Worr,,,,Soldier. Commissar.,Warlord,yes,,Planetfall Cycle,FFG,,Decree of Ruin,,,,,,,,,,,
564,,2,,1,,,,Astra Militarum,6,,Signature,Broderick Worr,,,"Army units that retreat from this planet are destroyed instead. Each other [Astra Militarum] unit you control at a [STRONGPOINT] planet (green) gets +1 ATK and gains, 'Cannot retreat or be routed'.",Soldier. Commissar.,Warlord,yes,,Planetfall Cycle,FFG,f4746fbc-739e-4146-8bee-71d56102c769,Decree of Ruin,17,7,7,,,,,,,,
565,,3,,2,1,2,,Astra Militarum,3,,Signature,Anxious Infantry Platoon,,,"Forced Reaction: After a combat round at this planet ends, you may pay 1[RESOURCE]. If you do not, retreat this unit.",Soldier.,Army,,4,Planetfall Cycle,FFG,4c6c225c-7a3e-427f-b2e9-e62ca92d32d9,Decree of Ruin,17,,,,,,,,,,
566,,,,3,,2,,Astra Militarum,,,Signature,Forward Barracks,,,"Reaction: After a combat round ends, if you control an [Astra Militarum] unit at the planet where the battle is taking place, put 1 Guardsman token into play at that planet.",Location.,Support,,1,Planetfall Cycle,FFG,7c942a92-fb9c-49e3-8a63-802d57f677ae,Decree of Ruin,17,,,,,,,,,,
567,,,,4,,0,,Astra Militarum,,,Signature,Summary Execution,,1,"Play only during a battle. Combat Action: Sacrifice a unit at a planet with your warlord to have that planet gain a [STRONGPOINT] icon (green) until the end of the battle. Then, draw 1 card.",Tactic.,Event,,2,Planetfall Cycle,FFG,71c07865-b5e5-4eba-ac4a-66c477a7f5bf,Decree of Ruin,17,,,,,,,,,,
568,,,,5,,1,,Astra Militarum,,,Signature,Commissarial Bolt Pistol,,3,"Attach to a Commissar unit. Attached unit gets +1 ATK Reaction: After an army unit you control at this planet leaves play, deal 1 damage to a target army unit at this planet.",Wargear. Weapon.,Attachment,,1,Planetfall Cycle,FFG,6449d58f-51b1-406e-b9b2-1937e55b1fea,Decree of Ruin,17,,,,,,,,,,
569,bloodied,2,,6,,,,Tau,5,Bloodied.,Signature,Commander Starblaze,,,,Soldier. Shas'o.,Warlord,yes,,,,,,,,,,,,,,,,
570,,2,,6,,,,Tau,6,,Signature,Commander Starblaze,,,"You may include common [Astra Militarum] cards in your deck, but cannot include other out of faction cards. Reaction: After this warlord commits to a planet, move 1 [Astra Militarum] unit you control from an adjacent planet to this planet.",Soldier. Shas'o.,Warlord,yes,,Planetfall Cycle,FFG,b1c1286c-fd0d-4153-8bfe-814052da54ab,Decree of Ruin,18,7,7,,,,,,,,
571,,2,,7,1,2,,Tau,2,,Signature,Ardent Auxiliaries,,,"Reaction: After this unit commits to a planet, if you control an [Astra Militarum] unit at this planet, ready this unit.",Soldier.,Army,,4,Planetfall Cycle,FFG,1379e076-3f7a-436b-8b74-394106f114bc,Decree of Ruin,18,,,,,,,,,,
572,,,,8,,2,,Tau,,,Signature,Starblaze's Outpost,,,Action: Exhaust this support and return an [Astra Militarum] army unit at a planet to your hand to put a [Tau] unit with equal or lower printed cost into play from your hand at the same planet.,Location.,Support,yes,1,Planetfall Cycle,FFG,1c7d9541-5007-460b-ac7c-5bc3c47c5d93,Decree of Ruin,18,,,,,,,,,,
573,,,,9,,2,,Tau,,,Signature,Bond of Brotherhood,,1,"Action: Until the end of the phase, each [Tau] unit you control at a target planet get +2 HP and each [Astra Militarum] unit you control at the targeted planet get +2 ATK.",Tactic.,Event,,2,Planetfall Cycle,FFG,95c4f6b9-4119-4270-94c1-ffafbf96134f,Decree of Ruin,18,,,,,,,,,,
574,,,,10,,1,,Tau,,,Signature,Searing Burst Cannon,,3,"Attach to a unit. Interrupt: When attached unit damages an enemy unit by an attack, if no shield card was used during this attack, double the damage taken.",Wargear. Weapon.,Attachment,,1,Planetfall Cycle,FFG,da758a13-0912-45e3-ab30-adb2620d9a1c,Decree of Ruin,18,,,,,,,,,,
575,,3,,11,1,3,,Space Marine,3,,Loyal,Lone Wolf,,,Action: Exhaust this unit to move it to a target planet with an enemy warlord and without any units you control.,Solier. Space Wolves.,Army,,,Planetfall Cycle,FFG,44af888d-2b35-4c79-9cb6-06ad3b4a311e,Decree of Ruin,,,,,,,,,,,
576,,1,,12,1,2,,Space Marine,2,,,Righteous Initiate,,,"Unstoppable - The first time this unit is assigned damage this round, prevent 1 of that damage and this unit gets +2 ATK until the end of the phase.",Soldier. Black Templars.,Army,,,Planetfall Cycle,FFG,09404289-9557-4fdc-a834-3ef164618484,Decree of Ruin,,,,,,,,,,,
577,,,,13,,1,,Space Marine,,,,Accept any Challenge,,1,"Reaction: After you win a battle at a [Tech] planet (blue), draw a card for each Black Templars unit you control at that planet. (Max 1 per round.)",Tactic. Vow.,Event,,,Planetfall Cycle,FFG,0ee9cdb4-7459-4a0e-9b81-32c2d44c1c67,Decree of Ruin,,,,,,,,,,,
578,,3,,14,,1,,Ork,1,No Wargear Attachments.,Loyal,Rickety Warbuggy,,,"Goes Fasta! - While your opponent has the initiative, this unit cannot be dealt damage by units while you control an army unit at this planet not named 'Rickety Warbuggy'.",Vehicle.,Army,,,Planetfall Cycle,FFG,f15a3344-301c-427c-8142-82f0d80e7a1d,Decree of Ruin,,,,,,,,,,,
579,,,,15,,1,,Ork,,,,Lucky Warpaint,,1,Attach to an [Ork] army unit. Attached unit gains the Blue trait. Attached unit gains Immune to enemy events.,Upgrade.,Attachment,,,Planetfall Cycle,FFG,5e8ea9af-301b-450f-aeb2-1d71c6c7a57e,Decree of Ruin,,,,,,,,,,,
580,,1,,16,1,2,,Chaos,3,,,Ravening Psychopath,,,"Reaction: After this unit resolves an attack, deal 1 damage to this unit to deal 1 damage to an enemy army unit at the same planet.",Cultist. Khorne. Ally.,Army,,,Planetfall Cycle,FFG,512b0080-14be-4d91-9d55-34c5e90b052c,Decree of Ruin,,,,,,,,,,,
581,,,,17,,2,,Chaos,,,,Sowing Chaos,,1,Deploy Action: Destroy each army unit with printed cost 2 or lower at each [Tech] planet (blue).,Tactic.,Event,,,Planetfall Cycle,FFG,419bbfdc-7bad-44e3-902a-b6ab3eb7ee06,Decree of Ruin,,,,,,,,,,,
582,,5,,18,,3,,Dark Eldar,3,No Attachments.,,Stalking Ur-Ghul,,,This unit gets -5 ATK while attacking a warlord or undamaged army unit.,Creature.,Army,,,Planetfall Cycle,FFG,a9c1677c-9b0f-45c7-b860-8cce31a4d447,Decree of Ruin,,,,,,,,,,,
583,,,,19,,1,,Dark Eldar,,,Loyal,Holding Cell,,,"Your opponent cannot deploy copies of the attached card. Reaction: After an enemy army unit is destroyed by an attack, if no card is attached to this support, attach that unit to this support.",Location.,Support,,,Planetfall Cycle,FFG,ead3130b-1899-4cb0-bfe0-eca83b8bc975,Decree of Ruin,,,,,,,,,,,
584,,2,,20,1,3,,Eldar,4,,,Prophetic Farseer,,,"Reaction: After you deploy this unit, look at the top 3 cards of your opponent's deck. Discard any number of those cards with 1 or more shield icons and place the remaining cards on top of his deck in any order.",Psyker. Saim-Hann.,Army,,,Planetfall Cycle,FFG,58618ec3-a553-48e7-9906-354d26bb74d0,Decree of Ruin,,,,,,,,,,,
585,,3,,21,,2,,Eldar,2,,,Wraithguard Revenant,,,"Interrupt: When you win a command struggle at a [Strongpoint] planet (green), put this unit into play from your discard pile or hand at that planet instead of taking the planet's card and resource bonuses.",Drone. Spirit.,Army,,,Planetfall Cycle,FFG,53446b96-91ea-4372-bc4c-1dcfc52ff8da,Decree of Ruin,,,,,,,,,,,
586,,,,22,,2,,Eldar,,,Loyal,Deathly Web Shrine,,,"Combat Reaction: After you move a unit you control from one planet to another, exhaust this support to exhaust a non-Elite army unit at the same planet as the unit just moved.",Location.,Support,yes,,Planetfall Cycle,FFG,42f42ccb-4bc0-4976-a10a-4b9630093926,Decree of Ruin,,,,,,,,,,,
587,,3,,23,2,5,,Tyranid,5,,,Striking Ravener,,,"Reaction: After this unit destroys an army unit by an attack, ready this unit.",Creature. Kraken. Elite.,Army,,,Planetfall Cycle,FFG,03c32593-1bca-47d7-bcec-e8ba391d1855,Decree of Ruin,,,,,,,,,,,
588,,,,24,,2,,Tyranid,,,,Acid Maw,,1,Attach to an army unit you control. Damage dealt by attached unit cannot be prevented.,Wargear. Biomorph.,Attachment,,,Planetfall Cycle,FFG,b39ed6c1-c63d-4655-b2e0-3c8003efcdfd,Decree of Ruin,,,,,,,,,,,
589,bloodied,3,,25,,,,Chaos,11,Bloodied.,Signature,Ba'ar Zul the Hate-Bound,,,,Warrior. Khorne. World Eaters.,Warlord,yes,,Planetfall Cycle,FFG,,Boundless Hate,,,,,,,,,,,
590,,0,,25,,,,Chaos,5,,Signature,Ba'ar Zul the Hate-Bound,,,"Reaction: After a unit you control at this planet takes damage, move all of that damage to this warlord.",Warrior. Khorne. World Eaters.,Warlord,yes,,Planetfall Cycle,FFG,8d3ddf6e-6b56-495f-86b5-799c7bc5c1f6,Boundless Hate,19,7,7,,,,,,,,
591,,2,,26,1,3,,Chaos,5,,Signature,Ba'ar Zul's Cleavers,,,Action: Deal 2 damage to this unit to have it get +2 ATK for its next attack this phase. (Limit once per phase.),Warrior. Khorne. World Eaters.,Army,,4,Planetfall Cycle,FFG,fbb7cc7e-185c-4a3a-a99d-54f11c2a68a8,Boundless Hate,19,,,,,,,,,,
592,,,,27,,2,,Chaos,,,Signature,Kaerux Erameas,,,Combat Action: Exhaust this support to resolve a battle at a non-first planet without a warlord. Use this ability only if no battle has been initiated this phase.,Location. Space Hulk.,Support,yes,1,Planetfall Cycle,FFG,ebed3073-7c2a-4976-8055-861c4fc69882,Boundless Hate,19,,,,,,,,,,
593,,,,28,,1,,Chaos,,,Signature,Blood For the Blood God!,,1,Combat Action: Deal 1 damage to each undamaged unit at a target planet.,Tactic. Khorne.,Event,,2,Planetfall Cycle,FFG,21fd1f27-6915-4e57-8a6f-3077a49f3f30,Boundless Hate,19,,,,,,,,,,
594,,,,29,,1,,Chaos,,,Signature,The Butcher's Nails,,3,Attach to your warlord. Attached unit gains Brutal while it is hale. Attached unit gains Armorbane while it is Bloodied.,Wargear. World Eaters.,Attachment,,1,Planetfall Cycle,FFG,96119329-1350-449b-8259-ac063b2ad010,Boundless Hate,19,,,,,,,,,,
595,bloodied,2,,30,,,,Dark Eldar,6,Bloodied.,Signature,Archon Salaine Morn,,,,Warrior. Archon.,Warlord,yes,,Planetfall Cycle,FFG,,Boundless Hate,,,,,,,,,,,
596,,2,,30,,,,Dark Eldar,7,,Signature,Archon Salaine Morn,,,"Reaction: After a Kabalite or Raider unit enters play under your control at a [Material] planet (red), gain 1[Resource]. (Limit once per phase.)",Warrior. Archon.,Warlord,yes,,Planetfall Cycle,FFG,a90f24c8-a2b3-407c-8601-ee8ed4573cef,Boundless Hate,20,7,7,,,,,,,,
597,,2,,31,1,2,,Dark Eldar,2,Ambush.,Signature,Shadowed Thorns Pillagers,,,,Warrior. Kabalite. Raider.,Army,,4,Planetfall Cycle,FFG,a4234136-1f38-4cc1-a400-6a9d8acc85e8,Boundless Hate,20,,,,,,,,,,
598,,,,32,,1,,Dark Eldar,,,Signature,The Nexus of Shadows,,,Action: Pay 2 [Resource] to draw 1 card. (Limit once per phase.),Location.,Support,yes,1,Planetfall Cycle,FFG,1a0c3319-7045-4974-a315-acee0b92edeb,Boundless Hate,20,,,,,,,,,,
599,,,,33,,2,,Dark Eldar,,,Signature,Inevitable Betrayal,,1,"Action: Choose any number of undamaged enemy army units at a target planet. Until the end of the phase, treat each of those units as if its printed text box were blank.",Tactic.,Event,,2,Planetfall Cycle,FFG,bbcca620-945b-42aa-be0c-96cc9c4ead6a,Boundless Hate,20,,,,,,,,,,
600,,,,34,,1,,Dark Eldar,,,Signature,Last Breath,,3,"Limit 1 [R]elic per player. Attach to a unique unit. Reaction: After attached unit damages an army unit by an attack, the attacked unit gets -3 ATK until the end of phase.",Relic. Wargear. Weapon.,Attachment,yes,1,Planetfall Cycle,FFG,8d1c5205-8107-47b4-9200-867d5639d300,Boundless Hate,20,,,,,,,,,,
601,,1,,35,1,1,,Space Marine,1,,,Neophyte Apprentice,,,"Forced Reaction: After this unit damages an enemy unit by an attack, sacrifice it to search the top 6 cards of your deck for a Black Templars unit with cost 4 or lower. Put that unit into play at this planet, and shuffle the remaining cards into your deck.",Soldier. Black Templars. Ally.,Army,,,Planetfall Cycle,FFG,093a1c09-7ba7-4a12-ab37-b4768afd047d,Boundless Hate,,,,,,,,,,,
602,,,,36,,2,,Space Marine,,,Loyal,The Black Sword,,2,"Limit 1 [R]elic per player. Attach to a Black Templars army unit. Reaction: After attached unit is declared as a defender, deal 2 damage to the attacker.",Relic. Weapon.,Attachment,yes,,Planetfall Cycle,FFG,05301a81-5507-464e-a28c-d64f4feb163f,Boundless Hate,,,,,,,,,,,
603,,1,,37,1,1,,Astra Militarum,1,,,Sacaellum Shrine Guard,,,While this unit is at a [Strongpoint] planet (green) it gets +1 ATK and +1 HP.,Soldier. Sacaellum. Ally.,Army,,,Planetfall Cycle,FFG,681b9da0-cbce-4c3b-9d86-819c9d84d50b,Boundless Hate,,,,,,,,,,,
604,,,,38,,0,,Astra Militarum,,Limited.,Loyal,Troop Transport,,,Action: Sacrifice this support to either put a Guardsman token into play at a planet or put 2 Guardsman tokens into play at a [Strongpoint] planet (green).,Upgrade.,Support,,,Planetfall Cycle,FFG,90432cf9-ff00-48a7-9262-64fdd0b68923,Boundless Hate,,,,,,,,,,,
605,,2,,39,2,4,,Ork,5,,,Front line 'Ard Boyz,,,"This unit must be declared as a defender, if able.",Warrior. Boyz.,Army,,,Planetfall Cycle,FFG,a74abf9b-b32e-4511-993b-0b9ff339fdeb,Boundless Hate,,,,,,,,,,,
606,,7,,40,2,5,,Ork,3,No Wargear Attachments.,Loyal,Ramshackle Trukk,,,"Goes Fasta! - While your opponent has the initiative, this unit gets +4 HP.",Vehicle. Elite.,Army,,,Planetfall Cycle,FFG,92435adf-faca-4598-bc47-4e162d1744fc,Boundless Hate,,,,,,,,,,,
607,,,,41,,2,,Ork,,,Loyal,Rok Bombardment,,2,"Combat Action: Target a planet where a battle is taking place. Until the end of the battle, after each unit at the targeted planet resolves an attack, deal 1 damage to it. If the targeted planet is a [Material] planet (red), this effect only deals damage to enemy units instead.",Tactic.,Event,,,Planetfall Cycle,FFG,e2baee55-8e4c-4d5d-8da8-4a9206104201,Boundless Hate,,,,,,,,,,,
608,,2,,42,1,3,,Eldar,4,,Loyal,Dire Avenger Exarch,,,"A Warrior unit you control at this planet must be declared as a defender, if able.",Warrior.,Army,,,Planetfall Cycle,FFG,38893d6d-882a-46cc-932e-50463ac056a6,Boundless Hate,,,,,,,,,,,
609,,,,43,,1,,Eldar,,,,Mind War,,1,Action: Exhaust a non-Elite army unit at a planet with a Psyker army unit you control.,Power.,Event,,,Planetfall Cycle,FFG,422dea5c-936d-4c0a-ac94-db91ef4595f8,Boundless Hate,,,,,,,,,,,
610,,2,,44,,2,,Tau,3,,,Prudent Fire Warriors,,,"Interrupt: When this unit leaves play, attach each attachment on it to a target eligible unit at this planet.",Soldier.,Army,,,Planetfall Cycle,FFG,cd7c4cba-7d73-4393-8949-46e0c26328b8,Boundless Hate,,,,,,,,,,,
611,,0,,45,1,1,,Tau,2,,Loyal,Exploratory Drone,,,"Reaction: After a non-[TAU] unit is deployed at this planet, move this unit to an adjacent planet.",Drone.,Army,,,Planetfall Cycle,FFG,3c38e7f0-7135-4ba7-99c8-d8aab4c7927b,Boundless Hate,,,,,,,,,,,
612,,,,46,,2,,Tau,,,Loyal,Auxiliary Armor,,2,"Attach to an army unit. Attached unit gets +2 ATK and +1 HP. If attached unit is a non-K unit, it gains 1 command icon.",Wargear. Armor.,Attachment,,,Planetfall Cycle,FFG,c4540930-242d-4ba1-9e48-6a739c7f1bf0,Boundless Hate,,,,,,,,,,,
613,,2,,47,,2,,Tyranid,3,Flying.,,Soaring Gargoyles,,,Hive Mind - Each Termagant token you control at this planet gains Flying.,Creature. Leviathan.,Army,,,Planetfall Cycle,FFG,048cbb3b-93f7-4df7-8179-6d550834d74f,Boundless Hate,,,,,,,,,,,
614,,,,48,,2,,Tyranid,,,,Sacaellum Infestors,,,"Reaction: After a planet is infested, exhaust this support to take either the card bonus or the resource bonus of that planet.",Upgrade.,Support,yes,,Planetfall Cycle,FFG,5760f265-115b-4f88-b125-69989937edbb,Boundless Hate,,,,,,,,,,,
615,bloodied,2,,49,,,,Ork,5,Bloodied.,Signature,Gorzod,,,,Oddboy. Warboss.,Warlord,yes,,Planetfall Cycle,FFG,,Deadly Salvage,,,,,,,,,,,
616,,2,,49,,,,Ork,7,,Signature,Gorzod,,,"You may include common Vehicle units from both the [Astra Militarum] and [Space Marine] factions, but cannot include other cards from a non-[Ork] faction. Interrupt: When you deploy an [Astra Militarum] or [Space Marine] unit, reduce its cost by 1 (to a minimum of 1).",Oddboy. Warboss,Warlord,yes,,Planetfall Cycle,FFG,4214ba7e-b6df-4003-9ba8-f563f756a8cb,Deadly Salvage,21,7,7,,,,,,,,
617,,1,,50,1,2,,Ork,3,No Wargear Attachments.,Signature,Gorzod's Wagons,,,"Goes Fasta! - While your opponent has the initiative, this unit gets +2 ATK.",Vehicle.,Army,,4,Planetfall Cycle,FFG,f4c3cd2c-9814-450d-b2cf-252e41efd209,Deadly Salvage,21,,,,,,,,,,
618,,,,51,,3,,Ork,,,Signature,Kustomisation Station,,,Each Vehicle unit you control loses all faction affiliations and gain the [Ork] faction affiliation. [Ork] Vehicle units you control get +1 ATK and +1HP.,Location.,Support,,1,Planetfall Cycle,FFG,0b4efbef-6edd-453e-ab5c-238d56ebb007,Deadly Salvage,21,,,,,,,,,,
619,,,,52,,1,,Ork,,,Signature,Hostile Acquisition,,1,"Reaction: After your warlord damages a Vehicle army unit by an attack, gain control of that unit.",Tactic.,Event,,2,Planetfall Cycle,FFG,7fea8018-778c-4920-8b47-67adb01ad228,Deadly Salvage,21,,,,,,,,,,
620,,,,53,,1,,Ork,,,Signature,The Bloodrunna,,3,"Attach to your warlord. Attached unit gets +2HP and gains 'Reaction: After a Vehicle unit is destroyed at this planet, ready this unit. (Limit once per phase.)'",Vehicle.,Attachment,yes,1,Planetfall Cycle,FFG,4afdcfad-9aac-4f24-9d32-78d8363a0f0d,Deadly Salvage,21,,,,,,,,,,
621,,4,,54,2,4,,Space Marine,3,,,Imperial Fists Devastators,,,"Reaction: After you deploy this unit to a [Tech] planet (blue), destroy a target Location support card.",Soldier. Imperial Fists.,Army,,,Planetfall Cycle,FFG,9d44e94a-8323-4196-af39-8a5ac4065e12,Deadly Salvage,,,,,,,,,,,
622,,,,55,,2,,Space Marine,,,,Teleportarium,,,Action: Exhaust this support to move a [Space Marine] army unit you control with printed cost 3 or lower from a [Tech] planet (blue) to an adjacent planet.,Location.,Support,,,Planetfall Cycle,FFG,b4a562de-17dc-48d2-b001-9fa3cff59930,Deadly Salvage,,,,,,,,,,,
623,,2,,56,,2,,Astra Militarum,3,,,Death Korps Engineers,,,Action: Sacrifice this unit to destroy a target exhausted support card.,Soldier. Krieg.,Army,,,Planetfall Cycle,FFG,44da8c7b-d24c-4340-9f75-7ba4978d8691,Deadly Salvage,,,,,,,,,,,
624,,3,,57,1,3,,Astra Militarum,3,,Loyal,Vanguard Soldiers,,,"Interrupt: When this unit leaves play, ready another target army unit you control.",Soldier. Sacaellum.,Army,,,Planetfall Cycle,FFG,9a3665f4-752d-4317-9a85-76b1edbb4a7d,Deadly Salvage,,,,,,,,,,,
625,,,,58,,1,,Astra Militarum,,,,Inspirational Fervor,,1,"Reaction: After you win a battle at a [Strongpoint] planet (green), move up to 2 non-warlord units you control at that planet to a target planet.",Tactic.,Event,,,Planetfall Cycle,FFG,125101f0-dd17-42b2-9e92-41351567c2db,Deadly Salvage,,,,,,,,,,,
626,,3,,59,3,5,,Chaos,6,,Loyal,Prodigal Sons Disciple,,,"Reaction: After this unit resolves an attack against an enemy army unit, deal X unpreventable damage to a target enemy unit at this planet. X is the number of command icons the targeted unit has",Psyker. Tzeentch. Elite.,Army,,,Planetfall Cycle,FFG,9419c3ab-2670-4620-a156-cba3d66d07d0,Deadly Salvage,,,,,,,,,,,
627,,3,1,60,1,3,,Chaos,3,,,Seer of Deceit,,,While this unit is at a [Tech] planet (blue) it gains:,Scholar. Ally.,Army,,,Planetfall Cycle,FFG,cad60259-ef89-4b7e-9217-b4dcb53d87db,Deadly Salvage,,,,,,,,,,,
628,,,,61,,1,,Chaos,,,,Khornate Chain Axe,,1,"Attach to an army unit. Attached unit gets +2 ATK. Bloodthirst - During a combat round in which 1 or more units have been destroyed at this planet, attached unit gains Brutal.",Wargear. Weapon. Khorne.,Attachment,,,Planetfall Cycle,FFG,acc92e10-cd7f-4985-82d8-18fe7dbc62a1,Deadly Salvage,,,,,,,,,,,
629,,1,,62,1,3,,Dark Eldar,3,,Loyal,Mandrake Fearmonger,,,"Reaction: After this unit damages an army unit by an attack, discard 1 card at random from your opponent's hand.",Warrior.,Army,,,Planetfall Cycle,FFG,d5b39a7c-8562-478b-be79-d298f757a4bc,Deadly Salvage,,,,,,,,,,,
630,,,,63,,0,,Dark Eldar,,,,Shadowed Thorns Bodysuit,,1,"Attach to a Kabalite army unit. Reaction: After attached unit is declared as a defender, exhaust this attachment to cancel the remainder of the attack.",Wargear. Armor.,Attachment,,,Planetfall Cycle,FFG,ad14213b-2a9f-42a3-941c-7cdd084a50f2,Deadly Salvage,,,,,,,,,,,
631,,3,,64,3,6,,Eldar,7,No Wargear Attachments. Ranged.,Loyal,Fire Prism,,,"Reaction: After this unit destroys an army unit by an attack, exhaust a target enemy army unit at this planet.",Vehicle. Tank. Elite.,Army,,,Planetfall Cycle,FFG,e64e505a-b840-470c-9957-cf73c6961d37,Deadly Salvage,,,,,,,,,,,
632,,,,65,,2,,Eldar,,,Loyal,Saim-Hann Jetbike,,2,"Attach to an army unit you control. Limit 1 per unit. Combat Action: Exhaust this attachment to move attached unit to a planet with a type shared with this planet. Then, deal 1 damage to an army unit at this planet.",Wargear. Vehicle. Saim-Hann.,Attachment,,,Planetfall Cycle,FFG,03e7af33-c9dc-4d12-9585-5ad16283062e,Deadly Salvage,,,,,,,,,,,
633,,4,,66,2,5,,Tau,4,,,Prototype Crisis Suit,,,"Reaction: After you deploy this unit, search the top 9 cards of your deck for up to 2 [Tau] attachments with printed cost 2 or lower. Put each eligible attachment into play attached to this unit. Then, shuffle the remaining cards into your deck.",Pilot. Elite.,Army,,,Planetfall Cycle,FFG,494641b6-e0a1-40c4-bc90-d5cb17e5371c,Deadly Salvage,,,,,,,,,,,
634,,,,67,,2,,Tau,,,,Mont'ka Strike,,1,Combat Action: Exhaust each ready Soldier unit you control at a target planet to deal damage equal to their combined printed ATK value to a target enemy army unit at the targeted planet.,Tactic.,Event,,,Planetfall Cycle,FFG,689e00ee-5b52-4242-b8c2-222f1f93179f,Deadly Salvage,,,,,,,,,,,
635,,,,68,,1,,Tau,,Limited.,Loyal,Sae'lum Enclave,,,"Interrupt: When you deploy a non-K unit, exhaust this support to reduce that unit's cost by 2.",Location.,Support,,,Planetfall Cycle,FFG,3952f04d-dfa5-4443-8da0-7fdc48748f12,Deadly Salvage,,,,,,,,,,,
636,,2,,69,,1,,Tyranid,2,,,Genestealer Prowler,,,,Creature. Genestealer.,Army,,,Planetfall Cycle,FFG,5f646199-b10c-47db-9d76-ee800be0cadb,Deadly Salvage,,,,,,,,,,,
637,,,,70,,0,,Tyranid,,,,Biomass Sacrifice,,1,Action: Discard 1 or more unit cards from your hand to gain [Resource] equal to the number of cards discarded by this effect.,Tactic.,Event,,,Planetfall Cycle,FFG,019bc297-0d2e-46c4-991d-fe502e8b1661,Deadly Salvage,,,,,,,,,,,
638,bloodied,2,,71,,,,Tyranid,5,Bloodied.,Signature,Subject O-X62113',,,,Creature. Genestealer.,Warlord,yes,,Planetfall Cycle,FFG,,What Lurks Below,,,,,,,,,,,
639,,2,,71,,,,Tyranid,6,,Signature,Subject O-X62113',,,Each Genestealer card in your hand may be deployed to infested planets as if it had ambush.,Creature. Genestealer.,Warlord,yes,,Planetfall Cycle,FFG,ed3258ba-4fab-4b65-a681-82f7c23c0780,What Lurks Below,22,6,6,,,,,,,,
640,,2,,72,1,3,,Tyranid,3,,Signature,Invasive Genestealers,,,"eaction: After you deploy this unit, target an enemy army unit at this planet. Until the end of the phase, the targeted unit gets -1 HP and this unit gets +1 HP.",Creature. Genestealer.,Army,,4,Planetfall Cycle,FFG,923bca89-f8e4-41da-a13c-a63860d74ad0,What Lurks Below,22,,,,,,,,,,
641,,,,73,,3,,Tyranid,,,Signature,Ruined Passages,,,ombat Action: Exhaust and sacrifice this support to ready each Genestealer unit you control at a target planet.,Location.,Support,,1,Planetfall Cycle,FFG,d4c83a88-5f6b-4ec6-8f3e-7eecf8028d30,What Lurks Below,22,,,,,,,,,,
642,,,,74,,1,,Tyranid,,,Signature,Gene Implantation,,1,"Reaction: After a Genestealer unit you control destroys an enemy unit with printed cost 3 or lower by an attack, put that unit into play from your opponent's discard pile under your control at the same planet.",Power.,Event,,2,Planetfall Cycle,FFG,b52d50d2-d0d3-4864-b493-cecbb1ee67c9,What Lurks Below,22,,,,,,,,,,
643,,,,75,,2,,Tyranid,,,Signature,Lethal Toxin Sacs,,3,You may deploy this attachment from your discard pile. Attach to an army unit you control. Attached unit gets +3 ATK and -1 HP.,Wargear. Genestealer.,Attachment,,1,Planetfall Cycle,FFG,f22d6963-4580-4e1d-af8a-f5cd18df4ac6,What Lurks Below,22,,,,,,,,,,
644,,5,,76,3,7,,Space Marine,6,No Wargear Attachments.,Loyal,Sword Brethren Dreadnought,,,"Unstoppable - The first time this unit is assigned damage this round, prevent 1 of that damage and you may trigger the Battle ability of this planet.",Vehicle. Black Templars. Elite.,Army,,,Planetfall Cycle,FFG,01e92c3b-519f-42eb-856a-2c828fa4c395,What Lurks Below,,,,,,,,,,,
645,,,,77,,2,,Space Marine,,,,Declare the Crusade,,1,"Reaction: After you win a battle at a [Tech] planet (blue), choose another planet in play and a planet that has been removed from the game. Switch the chosen planets.",Tactic.,Event,,,Planetfall Cycle,FFG,fae9ee66-a647-416b-82fe-bb44bc0d267d,What Lurks Below,,,,,,,,,,,
646,,,,78,,1,,Space Marine,,,,Cenobyte Servitor,,1,Attach to a Black Templars unit. Attached unit gets +1 HP. Action: Sacrifice this attachment to put a Relic attachment into play from your hand attached to attached unit.,Drone.,Attachment,,,Planetfall Cycle,FFG,27788085-61f7-4235-9327-a9ccd9c38664,What Lurks Below,,,,,,,,,,,
